date,time,heartRate
2022-12-11,17:48,76
2022-12-11,17:49,79
2022-12-11,17:57,83
2022-12-11,17:58,95
2022-12-11,17:59,83
2022-12-11,18:00,77
2022-12-11,18:01,76
2022-12-11,18:02,74
2022-12-11,18:03,71
2022-12-11,18:04,75
2022-12-11,18:05,75
2022-12-11,18:06,74
2022-12-11,18:07,75
2022-12-11,18:08,76
2022-12-11,18:09,69
2022-12-11,18:10,70
2022-12-11,18:11,72
2022-12-11,18:12,74
2022-12-11,18:13,76
2022-12-11,18:14,79
2022-12-11,18:15,77
2022-12-11,18:16,71
2022-12-11,18:17,72
2022-12-11,18:18,77
2022-12-11,18:19,70
2022-12-11,18:20,75
2022-12-11,18:21,81
2022-12-11,18:22,73
2022-12-11,18:23,70
2022-12-11,18:24,71
2022-12-11,18:25,74
2022-12-11,18:26,75
2022-12-11,18:27,79
2022-12-11,18:28,72
2022-12-11,18:29,72
2022-12-11,18:30,70
2022-12-11,18:31,73
2022-12-11,18:32,69
2022-12-11,18:33,72
2022-12-11,18:34,70
2022-12-11,18:35,74
2022-12-11,18:36,71
2022-12-11,18:37,70
2022-12-11,18:38,71
2022-12-11,18:39,83
2022-12-11,18:40,71
2022-12-11,18:41,73
2022-12-11,18:42,69
2022-12-11,18:43,68
2022-12-11,18:44,71
2022-12-11,18:45,69
2022-12-11,18:46,73
2022-12-11,18:47,70
2022-12-11,18:48,69
2022-12-11,18:49,66
2022-12-11,18:50,73
2022-12-11,18:51,66
2022-12-11,18:52,66
2022-12-11,18:53,78
2022-12-11,18:54,76
2022-12-11,18:56,85
2022-12-11,18:57,78
2022-12-11,18:58,77
2022-12-11,18:59,81
2022-12-11,19:00,77
2022-12-11,19:01,80
2022-12-11,19:03,79
2022-12-11,19:04,83
2022-12-11,19:05,78
2022-12-11,19:06,77
2022-12-11,19:07,79
2022-12-11,19:08,81
2022-12-11,19:38,67
2022-12-11,20:08,64
2022-12-11,20:21,68
2022-12-11,20:22,68
2022-12-11,20:38,71
2022-12-11,21:01,72
2022-12-11,21:08,71
2022-12-11,21:38,77
2022-12-11,21:39,78
2022-12-11,22:08,62
2022-12-11,22:38,60
2022-12-12,02:44,76
2022-12-12,03:08,98
2022-12-12,03:38,68
2022-12-12,04:08,68
2022-12-12,04:38,67
2022-12-12,05:08,62
2022-12-12,05:38,90
2022-12-12,06:08,73
2022-12-12,06:38,66
2022-12-12,07:08,56
2022-12-12,07:39,62
2022-12-12,07:41,124
2022-12-12,07:42,122
2022-12-12,10:09,82
2022-12-12,10:27,94
2022-12-12,10:39,84
2022-12-12,11:09,80
2022-12-12,11:14,75
2022-12-12,11:42,90
2022-12-12,11:54,62
2022-12-12,12:09,75
2022-12-12,12:29,80
2022-12-12,12:30,78
2022-12-12,12:39,71
2022-12-12,13:09,68
2022-12-12,13:39,99
2022-12-12,23:54,74
2022-12-13,00:03,63
2022-12-13,00:09,69
2022-12-13,00:39,71
2022-12-13,01:09,61
2022-12-13,01:39,63
2022-12-13,02:09,55
2022-12-13,02:33,94
2022-12-13,02:39,65
2022-12-13,03:09,57
2022-12-13,03:39,54
2022-12-13,04:09,59
2022-12-13,04:39,55
2022-12-13,05:09,55
2022-12-13,05:39,60
2022-12-13,06:09,60
2022-12-13,06:39,54
2022-12-13,07:09,56
2022-12-13,07:39,52
2022-12-13,08:09,61
2022-12-13,08:39,60
